date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:18	46/46	---M--	404	error ('Not%20Found')	application/json	date:Wed,%2026%20Jun%202024%2008:30:18%20GMT	https://pocketbase.io/robots.txt		(from )
17:30:18	25165/25165	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202024%2008:30:18%20GMT	https://pocketbase.io/docs/	C:/My%20Web%20Sites/wev_archive/pocketbase.io/docs/index.html	(from )
17:30:20	68838/68838	---MCZ	200	added ('OK')	image/png	date:Wed,%2026%20Jun%202024%2008:30:19%20GMT	https://pocketbase.io/images/og.png	C:/My%20Web%20Sites/wev_archive/pocketbase.io/images/og.png	(from https://pocketbase.io/docs/)
17:30:20	1874/1874	---M-Z	200	added ('OK')	image/png	date:Wed,%2026%20Jun%202024%2008:30:20%20GMT	https://pocketbase.io/images/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/wev_archive/pocketbase.io/images/favicon/apple-touch-icon.png	(from https://pocketbase.io/docs/)
17:30:22	900/900	---M-Z	200	added ('OK')	image/png	date:Wed,%2026%20Jun%202024%2008:30:22%20GMT	https://pocketbase.io/images/favicon/favicon-32x32.png	C:/My%20Web%20Sites/wev_archive/pocketbase.io/images/favicon/favicon-32x32.png	(from https://pocketbase.io/docs/)
17:30:23	698/698	---M-Z	200	added ('OK')	image/png	date:Wed,%2026%20Jun%202024%2008:30:23%20GMT	https://pocketbase.io/images/favicon/favicon-16x16.png	C:/My%20Web%20Sites/wev_archive/pocketbase.io/images/favicon/favicon-16x16.png	(from https://pocketbase.io/docs/)
17:30:24	422/422	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:30:24%20GMT	https://pocketbase.io/_app/immutable/assets/2.0975cac3.css	C:/My%20Web%20Sites/wev_archive/pocketbase.io/_app/immutable/assets/2.0975cac3.css	(from https://pocketbase.io/docs/)
17:30:26	173225/173225	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:30:25%20GMT	https://pocketbase.io/_app/immutable/assets/main.a2ec6d35.css	C:/My%20Web%20Sites/wev_archive/pocketbase.io/_app/immutable/assets/main.a2ec6d35.css	(from https://pocketbase.io/docs/)
17:30:27	650/650	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:30:27%20GMT	https://pocketbase.io/_app/immutable/assets/3.9c47a874.css	C:/My%20Web%20Sites/wev_archive/pocketbase.io/_app/immutable/assets/3.9c47a874.css	(from https://pocketbase.io/docs/)
17:30:28	86/86	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2008:30:28%20GMT	https://pocketbase.io/_app/immutable/assets/5.f8747f5c.css	C:/My%20Web%20Sites/wev_archive/pocketbase.io/_app/immutable/assets/5.f8747f5c.css	(from https://pocketbase.io/docs/)
17:30:29	25306/25306	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2026%20Jun%202024%2008:30:29%20GMT	https://pocketbase.io/_app/immutable/entry/start.c884ba35.js	C:/My%20Web%20Sites/wev_archive/pocketbase.io/_app/immutable/entry/start.c884ba35.js	(from https://pocketbase.io/docs/)
17:30:31	12537/12537	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2026%20Jun%202024%2008:30:30%20GMT	https://pocketbase.io/_app/immutable/chunks/index.a7566c1a.js	C:/My%20Web%20Sites/wev_archive/pocketbase.io/_app/immutable/chunks/index.a7566c1a.js	(from https://pocketbase.io/docs/)
17:30:32	2461/2461	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Jun%202024%2008:30:32%20GMT	https://pocketbase.io/_app/immutable/chunks/singletons.01dc88c8.js	C:/My%20Web%20Sites/wev_archive/pocketbase.io/_app/immutable/chunks/singletons.01dc88c8.js	(from https://pocketbase.io/docs/)
17:30:33	445/445	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Jun%202024%2008:30:33%20GMT	https://pocketbase.io/_app/immutable/chunks/index.f5b995db.js	C:/My%20Web%20Sites/wev_archive/pocketbase.io/_app/immutable/chunks/index.f5b995db.js	(from https://pocketbase.io/docs/)
17:30:34	27514/27514	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2026%20Jun%202024%2008:30:34%20GMT	https://pocketbase.io/_app/immutable/entry/app.7b6d4e54.js	C:/My%20Web%20Sites/wev_archive/pocketbase.io/_app/immutable/entry/app.7b6d4e54.js	(from https://pocketbase.io/docs/)
